name,kind,python_axial_N,ansys_axial_N,diff_axial_N,python_stress_MPa,ansys_stress_MPa,diff_stress_MPa
VR1,vertical,8044.073045711313,8044.1,0.0269542886871931,117.72450462687203,117.72,-0.0045046268720341
D1,diagonal,-2454.6366909971744,-2454.6,0.0366909971744462,-49.6085794116741,-49.609,-0.0004205883259018
VL1,vertical,-6851.996088116819,-6852.0,-0.0039118831809901,-100.27853310070088,-100.28,-0.0014668992991317
VR2,vertical,6851.9960881168245,6852.0,0.0039118831755331,100.27853310070094,100.28,0.0014668992990607
D2,diagonal,-2454.6366909971703,-2454.6,0.0366909971703535,-49.608579411674015,-49.609,-0.0004205883259871
VL2,vertical,-5659.919130522334,-5659.9,0.0191305223343078,-82.83256157452983,-82.833,-0.0004384254701648
VR3,vertical,5659.919130522341,5659.9,-0.0191305223415838,82.83256157452993,82.833,0.0004384254700653
D3,diagonal,-2454.636690997161,-2454.6,0.0366909971612585,-49.60857941167383,-49.609,-0.0004205883261718
VL3,vertical,-4467.842172927857,-4467.8,0.0421729278568818,-65.38659004835891,-65.387,-0.0004099516410889
VR4,vertical,4467.842172927855,4467.8,-0.0421729278550628,65.38659004835888,65.387,0.0004099516411173
D4,diagonal,-2454.636690997155,-2454.6,0.0366909971548921,-49.6085794116737,-49.609,-0.0004205883262997
VL4,vertical,-3275.7652153333784,-3275.8,-0.0347846666218174,-47.94061852218797,-47.941,-0.0003814778120343
VR5,vertical,3275.7652153333843,3275.8,0.0347846666159057,47.94061852218805,47.941,0.000381477811949
D5,diagonal,-2454.636690997143,-2454.6,0.0366909971430686,-49.60857941167346,-49.609,-0.0004205883265413
VL5,vertical,-2083.688257738911,-2083.7,-0.0117422610887842,-30.49464699601719,-30.495,-0.0003530039828092
VR6,vertical,2083.68825773891,2083.7,0.0117422610896937,30.494646996017178,30.495,0.0003530039828234
D6,diagonal,-2454.6366909971207,-2454.6,0.036690997120786,-49.60857941167301,-49.609,-0.0004205883269889
VL6,vertical,-891.6113001444486,-891.61,0.001300144448578,-13.048675469846486,-13.049,-0.000324530153513
VR7,vertical,891.6113001444511,891.61,-0.0013001444510791,13.048675469846522,13.049,0.0003245301534775
D7,diagonal,-1835.940035162365,-1835.9,0.040035162364802,-37.104626262399805,-37.105,-0.0003737376001922
H0,horizontal,0.0,0.0,0.0,0.0,0.0,0.0
H1,horizontal,2145.7385236700743,2145.7,-0.0385236700744826,43.36570065076802,43.366,0.0002993492319802
H2,horizontal,2145.7385236700657,2145.7,-0.0385236700658424,43.36570065076784,43.366,0.0002993492321579
H3,horizontal,2145.73852367006,2145.7,-0.0385236700599307,43.36570065076772,43.366,0.0002993492322787
H4,horizontal,2145.738523670052,2145.7,-0.0385236700522,43.365700650767565,43.366,0.000299349232435
H5,horizontal,2145.738523670036,2145.7,-0.0385236700362838,43.365700650767245,43.366,0.0002993492327547
H6,horizontal,1604.9003402599928,1604.9,-0.0003402599927539,32.435279025046675,32.435,-0.000279025046673
